_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
008.138861	+48.659138	008.138861	+48.659138	00323332+4839328	16.020	0.148	14.855		14.105		BUU	200	100	s00	0	0
008.139463	+48.658970	008.139463	+48.658970	00323347+4839322	14.973		15.028		15.017	0.174	UUC	002	001	00s	0	0
008.156590	+48.642590	008.156590	+48.642590	00323758+4838333	16.069	0.090	15.601	0.098	15.782	0.204	AAC	222	111	000	0	0
008.138778	+48.646095	008.138778	+48.646095	00323330+4838459	13.737	0.024	13.427	0.029	13.389	0.028	AAA	222	111	000	0	0
008.156674	+48.629486	008.156674	+48.629486	00323760+4837461	16.799	0.152	16.006	0.147	15.997	0.255	BBD	222	111	000	0	0
008.154285	+48.642876	008.154285	+48.642876	00323702+4838343	16.433	0.121	15.669	0.106	15.524	0.173	BBC	222	111	000	0	0
008.152399	+48.652294	008.152399	+48.652294	00323657+4839082	16.263	0.102	16.161	0.172	15.872	0.224	ACD	222	111	000	0	0
008.146651	+48.669796	008.146651	+48.669796	00323519+4840112	15.829	0.066	15.481	0.095	15.528	0.163	AAC	222	111	000	0	0
008.143396	+48.626244	008.143396	+48.626244	00323441+4837344	16.006	0.084	15.555	0.100	15.413	0.143	AAB	222	111	000	0	0
008.143042	+48.643761	008.143042	+48.643761	00323433+4838375	17.296	0.236	16.312	0.215	15.794	0.208	DCC	222	111	000	0	0
008.234787	+48.684799	008.234787	+48.684799	00325634+4841052	12.367	0.023	11.810	0.021	11.679	0.021	AAA	222	111	000	0	0
008.233218	+48.674946	008.233218	+48.674946	00325597+4840298	13.289	0.022	13.015	0.024	13.007	0.027	AAA	222	111	000	0	0
008.234507	+48.631950	008.234507	+48.631950	00325628+4837550	17.085	0.189	16.016	0.149	15.991		CCU	220	110	c00	0	0
008.242683	+48.625824	008.242683	+48.625824	00325824+4837329	16.781	0.147	15.986	0.143	15.408	0.141	BBB	222	111	000	0	0
008.236021	+48.672592	008.236021	+48.672592	00325664+4840213	15.475	0.044	15.131	0.068	15.178	0.114	AAB	222	111	ccc	0	0
008.239139	+48.668362	008.239139	+48.668362	00325739+4840061	13.693	0.022	13.437	0.023	13.356	0.030	AAA	222	111	ccc	0	0
008.239476	+48.680580	008.239476	+48.680580	00325747+4840500	16.327	0.110	16.057	0.166	16.046	0.256	BCD	222	111	ccc	0	0
008.225700	+48.633144	008.225700	+48.633144	00325416+4837593	15.370	0.047	14.833	0.058	14.712	0.080	AAA	222	111	000	0	0
008.245447	+48.658295	008.245447	+48.658295	00325890+4839298	5.235	0.019	4.521	0.220	4.201	0.330	ADD	133	111	000	0	0
008.230741	+48.631367	008.230741	+48.631367	00325537+4837529	15.752	0.065	15.028	0.062	14.932	0.106	AAA	222	111	000	0	0
008.202578	+48.685337	008.202578	+48.685337	00324861+4841072	16.051	0.080	15.415	0.081	15.140	0.115	AAB	222	111	ccc	0	0
008.223849	+48.668938	008.223849	+48.668938	00325372+4840081	15.284	0.048	14.634	0.051	14.515	0.066	AAA	222	111	c0c	0	0
008.219020	+48.658379	008.219020	+48.658379	00325256+4839301	16.618	0.154	15.779		14.392		BUU	200	100	c00	0	0
008.200352	+48.659142	008.200352	+48.659142	00324808+4839329	16.414	0.120	16.072	0.187	15.753	0.202	BCC	222	111	ssc	0	0
008.189066	+48.629398	008.189066	+48.629398	00324537+4837458	14.598	0.033	14.344	0.038	14.141	0.047	AAA	222	111	000	0	0
008.190351	+48.669296	008.190351	+48.669296	00324568+4840094	15.125	0.038	14.821	0.055	14.726	0.086	AAA	222	111	000	0	0
008.196131	+48.675522	008.196131	+48.675522	00324707+4840318	12.735	0.023	12.453	0.023	12.411	0.023	AAA	222	111	000	0	0
008.202052	+48.661636	008.202052	+48.661636	00324849+4839418	16.308	0.098	15.544	0.101	15.450	0.153	AAB	222	111	000	0	0
008.214593	+48.640915	008.214593	+48.640915	00325150+4838272	15.418	0.047	14.983	0.058	15.065	0.112	AAB	222	111	000	0	0
